A,B,Result
0,0,0
1,0,1
2,0,2
4,0,4
8,0,8
16,0,16
32,0,32
64,0,64
128,0,128
256,0,256
512,0,512
1024,0,1024
2048,0,2048
4096,0,4096
8192,0,8192
16384,0,16384
32768,0,32768
65536,0,65536
131072,0,131072
262144,0,262144
524288,0,524288
1048576,0,1048576
2097152,0,2097152
4194304,0,4194304
8388608,0,8388608
16777216,0,16777216
33554432,0,33554432
67108864,0,67108864
134217728,0,134217728
268435456,0,268435456
536870912,0,536870912
1073741824,0,1073741824
2147483648,0,2147483648
0,4294967295,4294967295
1,4294967295,4294967295
2,4294967295,4294967295
4,4294967295,4294967295
8,4294967295,4294967295
16,4294967295,4294967295
32,4294967295,4294967295
64,4294967295,4294967295
128,4294967295,4294967295
256,4294967295,4294967295
512,4294967295,4294967295
1024,4294967295,4294967295
2048,4294967295,4294967295
4096,4294967295,4294967295
8192,4294967295,4294967295
16384,4294967295,4294967295
32768,4294967295,4294967295
65536,4294967295,4294967295
131072,4294967295,4294967295
262144,4294967295,4294967295
524288,4294967295,4294967295
1048576,4294967295,4294967295
2097152,4294967295,4294967295
4194304,4294967295,4294967295
8388608,4294967295,4294967295
16777216,4294967295,4294967295
33554432,4294967295,4294967295
67108864,4294967295,4294967295
134217728,4294967295,4294967295
268435456,4294967295,4294967295
536870912,4294967295,4294967295
1073741824,4294967295,4294967295
2147483648,4294967295,4294967295
