A,Shift_Amt,ExpRes
0,0,0
0,1,0
1,0,1
2,0,2
4,0,4
8,0,8
16,0,16
32,0,32
64,0,64
128,0,128
256,0,256
512,0,512
1024,0,1024
2048,0,2048
4096,0,4096
8192,0,8192
16384,0,16384
32768,0,32768
65536,0,65536
131072,0,131072
262144,0,262144
524288,0,524288
1048576,0,1048576
2097152,0,2097152
4194304,0,4194304
8388608,0,8388608
16777216,0,16777216
33554432,0,33554432
67108864,0,67108864
134217728,0,134217728
268435456,0,268435456
536870912,0,536870912
1073741824,0,1073741824
2147483648,0,2147483648
1,1,2
2,1,4
4,1,8
8,1,16
16,1,32
32,1,64
64,1,128
128,1,256
256,1,512
512,1,1024
1024,1,2048
2048,1,4096
4096,1,8192
8192,1,16384
16384,1,32768
32768,1,65536
65536,1,131072
131072,1,262144
262144,1,524288
524288,1,1048576
1048576,1,2097152
2097152,1,4194304
4194304,1,8388608
8388608,1,16777216
16777216,1,33554432
33554432,1,67108864
67108864,1,134217728
134217728,1,268435456
268435456,1,536870912
536870912,1,1073741824
1073741824,1,2147483648
2147483648,1,0
1,3,8
2,3,16
4,3,32
8,3,64
16,3,128
32,3,256
64,3,512
128,3,1024
256,3,2048
512,3,4096
1024,3,8192
2048,3,16384
4096,3,32768
8192,3,65536
16384,3,131072
32768,3,262144
65536,3,524288
131072,3,1048576
262144,3,2097152
524288,3,4194304
1048576,3,8388608
2097152,3,16777216
4194304,3,33554432
8388608,3,67108864
16777216,3,134217728
33554432,3,268435456
67108864,3,536870912
134217728,3,1073741824
268435456,3,2147483648
536870912,3,0
1073741824,3,0
2147483648,3,0
1,5,32
2,5,64
4,5,128
8,5,256
16,5,512
32,5,1024
64,5,2048
128,5,4096
256,5,8192
512,5,16384
1024,5,32768
2048,5,65536
4096,5,131072
8192,5,262144
16384,5,524288
32768,5,1048576
65536,5,2097152
131072,5,4194304
262144,5,8388608
524288,5,16777216
1048576,5,33554432
2097152,5,67108864
4194304,5,134217728
8388608,5,268435456
16777216,5,536870912
33554432,5,1073741824
67108864,5,2147483648
134217728,5,0
268435456,5,0
536870912,5,0
1073741824,5,0
2147483648,5,0
1,7,128
2,7,256
4,7,512
8,7,1024
16,7,2048
32,7,4096
64,7,8192
128,7,16384
256,7,32768
512,7,65536
1024,7,131072
2048,7,262144
4096,7,524288
8192,7,1048576
16384,7,2097152
32768,7,4194304
65536,7,8388608
131072,7,16777216
262144,7,33554432
524288,7,67108864
1048576,7,134217728
2097152,7,268435456
4194304,7,536870912
8388608,7,1073741824
16777216,7,2147483648
33554432,7,0
67108864,7,0
134217728,7,0
268435456,7,0
536870912,7,0
1073741824,7,0
2147483648,7,0
1,9,512
2,9,1024
4,9,2048
8,9,4096
16,9,8192
32,9,16384
64,9,32768
128,9,65536
256,9,131072
512,9,262144
1024,9,524288
2048,9,1048576
4096,9,2097152
8192,9,4194304
16384,9,8388608
32768,9,16777216
65536,9,33554432
131072,9,67108864
262144,9,134217728
524288,9,268435456
1048576,9,536870912
2097152,9,1073741824
4194304,9,2147483648
8388608,9,0
16777216,9,0
33554432,9,0
67108864,9,0
134217728,9,0
268435456,9,0
536870912,9,0
1073741824,9,0
2147483648,9,0
1,11,2048
2,11,4096
4,11,8192
8,11,16384
16,11,32768
32,11,65536
64,11,131072
128,11,262144
256,11,524288
512,11,1048576
1024,11,2097152
2048,11,4194304
4096,11,8388608
8192,11,16777216
16384,11,33554432
32768,11,67108864
65536,11,134217728
131072,11,268435456
262144,11,536870912
524288,11,1073741824
1048576,11,2147483648
2097152,11,0
4194304,11,0
8388608,11,0
16777216,11,0
33554432,11,0
67108864,11,0
134217728,11,0
268435456,11,0
536870912,11,0
1073741824,11,0
2147483648,11,0
1,17,131072
2,17,262144
4,17,524288
8,17,1048576
16,17,2097152
32,17,4194304
64,17,8388608
128,17,16777216
256,17,33554432
512,17,67108864
1024,17,134217728
2048,17,268435456
4096,17,536870912
8192,17,1073741824
16384,17,2147483648
32768,17,0
65536,17,0
131072,17,0
262144,17,0
524288,17,0
1048576,17,0
2097152,17,0
4194304,17,0
8388608,17,0
16777216,17,0
33554432,17,0
67108864,17,0
134217728,17,0
268435456,17,0
536870912,17,0
1073741824,17,0
2147483648,17,0
1,25,33554432
2,25,67108864
4,25,134217728
8,25,268435456
16,25,536870912
32,25,1073741824
64,25,2147483648
128,25,0
256,25,0
512,25,0
1024,25,0
2048,25,0
4096,25,0
8192,25,0
16384,25,0
32768,25,0
65536,25,0
131072,25,0
262144,25,0
524288,25,0
1048576,25,0
2097152,25,0
4194304,25,0
8388608,25,0
16777216,25,0
33554432,25,0
67108864,25,0
134217728,25,0
268435456,25,0
536870912,25,0
1073741824,25,0
2147483648,25,0
1,31,2147483648
2,31,0
4,31,0
8,31,0
16,31,0
32,31,0
64,31,0
128,31,0
256,31,0
512,31,0
1024,31,0
2048,31,0
4096,31,0
8192,31,0
16384,31,0
32768,31,0
65536,31,0
131072,31,0
262144,31,0
524288,31,0
1048576,31,0
2097152,31,0
4194304,31,0
8388608,31,0
16777216,31,0
33554432,31,0
67108864,31,0
134217728,31,0
268435456,31,0
536870912,31,0
1073741824,31,0
2147483648,31,0
