A,Shift_Amt,Result
0,0,0
1,0,1
2,0,2
4,0,4
8,0,8
16,0,16
32,0,32
64,0,64
128,0,128
256,0,256
512,0,512
1024,0,1024
2048,0,2048
4096,0,4096
8192,0,8192
16384,0,16384
32768,0,32768
65536,0,65536
131072,0,131072
262144,0,262144
524288,0,524288
1048576,0,1048576
2097152,0,2097152
4194304,0,4194304
8388608,0,8388608
16777216,0,16777216
33554432,0,33554432
67108864,0,67108864
134217728,0,134217728
268435456,0,268435456
536870912,0,536870912
1073741824,0,1073741824
2147483648,0,2147483648
1,1,0
2,1,1
4,1,2
8,1,4
16,1,8
32,1,16
64,1,32
128,1,64
256,1,128
512,1,256
1024,1,512
2048,1,1024
4096,1,2048
8192,1,4096
16384,1,8192
32768,1,16384
65536,1,32768
131072,1,65536
262144,1,131072
524288,1,262144
1048576,1,524288
2097152,1,1048576
4194304,1,2097152
8388608,1,4194304
16777216,1,8388608
33554432,1,16777216
67108864,1,33554432
134217728,1,67108864
268435456,1,134217728
536870912,1,268435456
1073741824,1,536870912
2147483648,1,3221225472
1,3,0
2,3,0
4,3,0
8,3,1
16,3,2
32,3,4
64,3,8
128,3,16
256,3,32
512,3,64
1024,3,128
2048,3,256
4096,3,512
8192,3,1024
16384,3,2048
32768,3,4096
65536,3,8192
131072,3,16384
262144,3,32768
524288,3,65536
1048576,3,131072
2097152,3,262144
4194304,3,524288
8388608,3,1048576
16777216,3,2097152
33554432,3,4194304
67108864,3,8388608
134217728,3,16777216
268435456,3,33554432
536870912,3,67108864
1073741824,3,134217728
2147483648,3,4026531840
1,7,0
2,7,0
4,7,0
8,7,0
16,7,0
32,7,0
64,7,0
128,7,1
256,7,2
512,7,4
1024,7,8
2048,7,16
4096,7,32
8192,7,64
16384,7,128
32768,7,256
65536,7,512
131072,7,1024
262144,7,2048
524288,7,4096
1048576,7,8192
2097152,7,16384
4194304,7,32768
8388608,7,65536
16777216,7,131072
33554432,7,262144
67108864,7,524288
134217728,7,1048576
268435456,7,2097152
536870912,7,4194304
1073741824,7,8388608
2147483648,7,4278190080
1,24,0
2,24,0
4,24,0
8,24,0
16,24,0
32,24,0
64,24,0
128,24,0
256,24,0
512,24,0
1024,24,0
2048,24,0
4096,24,0
8192,24,0
16384,24,0
32768,24,0
65536,24,0
131072,24,0
262144,24,0
524288,24,0
1048576,24,0
2097152,24,0
4194304,24,0
8388608,24,0
16777216,24,1
33554432,24,2
67108864,24,4
134217728,24,8
268435456,24,16
536870912,24,32
1073741824,24,64
2147483648,24,4294967168
1,31,0
2,31,0
4,31,0
8,31,0
16,31,0
32,31,0
64,31,0
128,31,0
256,31,0
512,31,0
1024,31,0
2048,31,0
4096,31,0
8192,31,0
16384,31,0
32768,31,0
65536,31,0
131072,31,0
262144,31,0
524288,31,0
1048576,31,0
2097152,31,0
4194304,31,0
8388608,31,0
16777216,31,0
33554432,31,0
67108864,31,0
134217728,31,0
268435456,31,0
536870912,31,0
1073741824,31,0
2147483648,31,4294967295
